image_urls,images,summary,title
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png', 'path': 'full/9791391d5ba76b5ca60dad452d67f9ddef1b33db.jpg', 'checksum': '495840ff54ab70605e8484a7131a03d2'}]","Thota Tharani is an Indian film art director and production designer who has predominantly worked in Tamil, Telugu, and Malayalam cinema and Bollywood. As of 2013, he has won two National Film Awards, two Filmfare Awards South and four Tamil Nadu State Film Awards.  His work consists of paintings, murals, paper collages, wooden montages, and installations and so on.",Thota Tharani
http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Unni_mukundan.jpg/220px-Unni_mukundan.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Unni_mukundan.jpg/220px-Unni_mukundan.jpg', 'path': 'full/2d862e884bc042d927ad80dcffc300affdcfae4a.jpg', 'checksum': 'c64fa7c264116a34d8c16af7f6627757'}]","Unnikrishnan Mukundan commonly known as Unni Mukundan (born 22 September 1987) is an Indian film actor, who predominantly appears in Malayalam films. He has also acted in a few Tamil and Telugu films.
Unni Mukundan made his acting debut with the Tamil film Seedan (2011), a remake of Nandanam (2002). After playing several small roles, Unni got his breakthrough with his lead role in Vysakh's action comedy Mallu Singh (2012). Later, he went on to do major roles in several Malayalam films. He made his Telugu debut with the 2016 film Janatha Garage.Unni Mukundan made his debut as a lyricist and singer with the film Achayans. He has also sponsored road safety measures by appearing in the motor vehicle department's advertisements.",Unni Mukundan
http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Upen_Patel_at_the_screening_of_%E2%80%98Shubh_Mangal_Saavdhan%E2%80%99.jpg/220px-Upen_Patel_at_the_screening_of_%E2%80%98Shubh_Mangal_Saavdhan%E2%80%99.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Upen_Patel_at_the_screening_of_%E2%80%98Shubh_Mangal_Saavdhan%E2%80%99.jpg/220px-Upen_Patel_at_the_screening_of_%E2%80%98Shubh_Mangal_Saavdhan%E2%80%99.jpg', 'path': 'full/3d490e1b5486c8bd023bf2d95ece5701ea582791.jpg', 'checksum': '079ba126e56209c8f41e1adcc3514044'}]","Upen Patel (born 16 August 1982) is a model and film actor working in India. In addition to working in Bollywood films, he has participated in several television reality shows including Bigg Boss 8 and Nach Baliye 7.",Upen Patel
http://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Vajramuni.jpg/220px-Vajramuni.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Vajramuni.jpg/220px-Vajramuni.jpg', 'path': 'full/f4872156062e14aa4a741308d5197c99ae22429e.jpg', 'checksum': 'b2ca1c8fdc0d48b328b84315fb31b2c2'}]","Sadananda Sagar (11 May 1944 – 5 January 2006), better known by his stage name Vajramuni, was an Indian actor who appeared in Kannada films. He portrayed negative characters during most of his career and was considered one of Kannada cinema's finest actors. Over his career, he came to be known for his ""thundering voice and sterling performance[s]"" that earned him the sobriquets Nata Bhairava and Nata Bhayankara.Vajramuni began his career as a stage actor and gained popularity with his portrayal of Ravana in Kanagal Prabhakar Shastri's play Prachanda Ravana. He made his film debut in 1969 with Puttanna Kanagal's Mallammana Pavada. His pairing with Rajkumar, with the latter as the lead, in the 1970s came to be widely appreciated, with films such as Sipayi Ramu (1972), Sampathige Savaal (1974), Premada Kanike (1976), Bahaddur Gandu (1976), Giri Kanye (1977) and Shankar Guru (1978). Recognizing his contribution to Kannada cinema, he was awarded the Lifetime Contribution to Kannada Cinema Award in 2006.",Vajramuni
http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Uday_Chopra_launch_%27YOMICS%27_07.jpg/220px-Uday_Chopra_launch_%27YOMICS%27_07.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Uday_Chopra_launch_%27YOMICS%27_07.jpg/220px-Uday_Chopra_launch_%27YOMICS%27_07.jpg', 'path': 'full/3d15f17589a9f967d8654d19e7441a30a783396d.jpg', 'checksum': 'a10271ffc0084cbc5b93086f480d1ebc'}]","Uday Chopra (born 5 January 1973) is a Bollywood actor, producer, screenwriter and assistant director. He is the son of the late Yash Chopra and brother of Aditya Chopra. His sister-in-law is the actress Rani Mukerji and his cousins are film director Karan Johar and film producer Vidhu Vinod Chopra. Chopra worked as an assistant director on a number of his father's and brother's films under the Yash Raj Films banner.
Chopra is the owner-manager (CEO) of YRF Entertainment and manager of Yash Raj Films along with his mother Pamela Chopra and his brother Aditya Chopra, who owns the company.
Chopra made his acting debut in the notable 2000 musical romantic drama Mohabbatein and featured in several other notable films including Mere Yaar Ki Shaadi Hai (2002), Dhoom (2004), Dhoom 2 (2006) and Dhoom 3 (2013). In July 2012, Chopra founded his own company, Yomics, which creates comics about famous Yash Raj Films   including Hum Tum, Dhoom and Ek Tha Tiger. Chopra received an Emmy Award nomination for Outstanding Television Movie for producing Grace of Monaco at the 67th Primetime Emmy Awards.",Uday Chopra
http://upload.wikimedia.org/wikipedia/commons/b/b1/Upendra_Limaye_at_IFFI_2010_Goa.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/b/b1/Upendra_Limaye_at_IFFI_2010_Goa.jpg', 'path': 'full/662c29f6f29aad4cc73e3a543cf2273c879b0aa8.jpg', 'checksum': 'f0577cd3a1511415fdc78b3158b1760b'}]","Upendra Limaye (born 8 November 1969) is an Indian film actor, who won the National Film Award for his role in the Marathi film Jogwa.
On the centenary of Indian cinema in April 2013, Forbes included Limaye's performance in the film on its list, ""25 Greatest Acting Performances of Indian Cinema"".",Upendra Limaye
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Varun_Dhawan_at_the_promo_launch_of_%27Student_Of_The_Year%27.jpg/170px-Varun_Dhawan_at_the_promo_launch_of_%27Student_Of_The_Year%27.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Varun_Dhawan_at_the_promo_launch_of_%27Student_Of_The_Year%27.jpg/170px-Varun_Dhawan_at_the_promo_launch_of_%27Student_Of_The_Year%27.jpg', 'path': 'full/3c0a5b5a0ac9b50f0fa0cdb812b1603925c6c3ae.jpg', 'checksum': '4cfefe61974050371899418767a53268'}]","Varun Dhawan (born 24 April 1987) is an Indian actor. One of the country's highest-paid celebrities, he has featured in Forbes India's Celebrity 100 list since 2014. The first eleven films in which he starred were commercially successful, establishing Dhawan in Hindi cinema.
Born to the film director David Dhawan, he studied business management from the Nottingham Trent University, after which he worked as an assistant director to Karan Johar on the 2010 drama My Name Is Khan. He made his acting debut in 2012 in Johar's teen drama Student of the Year. He rose to prominence with starring roles in the romantic comedies Main Tera Hero (2014), Humpty Sharma Ki Dulhania (2014), and Badrinath Ki Dulhania (2017); the action comedies Dilwale (2015), Dishoom (2016), and Judwaa 2 (2017); the dance film ABCD 2 (2015); and the drama Sui Dhaaga (2018). He also received praise for playing an avenger in the crime thriller Badlapur (2015) and an aimless man coping with loss in the drama October (2018).",Varun Dhawan
http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Vicky_Kaushal_%26_Shweta_Tripathi_in_2015.jpg/220px-Vicky_Kaushal_%26_Shweta_Tripathi_in_2015.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Vicky_Kaushal_%26_Shweta_Tripathi_in_2015.jpg/220px-Vicky_Kaushal_%26_Shweta_Tripathi_in_2015.jpg', 'path': 'full/c13661d6f4492204468314ae01f038fcf37d58b3.jpg', 'checksum': 'b8ed0b859a874fdde19456afd29e6d7f'}]","Vicky Kaushal (pronounced [ʋɪkkiː kɔːʃəl]; born 16 May 1988) is an Indian actor who works in Hindi films. He is the recipient of a National Film Award and a Filmfare Award, and has appeared in Forbes India's Celebrity 100 list of 2019.
Born to the action director Sham Kaushal, Kaushal pursued an engineering degree from the Rajiv Gandhi Institute of Technology. Aspiring to take up a career in film, he assisted Anurag Kashyap in the crime drama Gangs of Wasseypur (2012) and went on to play minor roles in two of Kashyap's productions. His first leading role was in the independent drama Masaan (2015), which earned him the IIFA and Screen Awards for Best Male Debut, following which he starred as an unhinged cop in Kashyap's psychological thriller Raman Raghav 2.0 (2016).
Kaushal rose to prominence in 2018 with supporting roles in Raazi and Sanju, two of the highest-grossing Hindi films of the year. For the latter, he won the Filmfare Award for Best Supporting Actor. His 2018 projects also included starring roles in the Netflix films Love per Square Foot and Lust Stories. The following year, he played the lead role of a military officer in the commercially successful action film Uri: The Surgical Strike, winning the National Film Award for Best Actor.",Vicky Kaushal
http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Tusshar_Kapoor%2C_Neha_Sharma_at_the_Audio_release_of_%27Kyaa_Super_Kool_Hain_Hum%27_12.jpg/220px-Tusshar_Kapoor%2C_Neha_Sharma_at_the_Audio_release_of_%27Kyaa_Super_Kool_Hain_Hum%27_12.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Tusshar_Kapoor%2C_Neha_Sharma_at_the_Audio_release_of_%27Kyaa_Super_Kool_Hain_Hum%27_12.jpg/220px-Tusshar_Kapoor%2C_Neha_Sharma_at_the_Audio_release_of_%27Kyaa_Super_Kool_Hain_Hum%27_12.jpg', 'path': 'full/532e9c50bdbb6546d6feb4897b4d3cac0e4d19e4.jpg', 'checksum': '76ad2250efdf2c3d9437ef46b7479dd0'}]","Tusshar Kapoor is an Indian Bollywood actor, producer and son of veteran actor Jeetendra and the younger brother of Ekta Kapoor. He was also the co-owner of Balaji Telefilms and Balaji Motion Pictures from 2001-2019. His notable work include Mujhe Kucch Kehna Hai (2001),  Khakee (2004), Kyaa Kool Hai Hum (2005), Dhol (2007),  One Two Three (2008) and the Golmaal film series.
He is the founder and director of the production house, Tusshar Entertainment House. The debut movie produced by his production house is Laxmmi Bomb.",Tusshar Kapoor
http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Photo_Of_Tigmanshu_Dhulia_From_The_DVD_launch_of_%27Paan_Singh_Tomar%27.jpg/220px-Photo_Of_Tigmanshu_Dhulia_From_The_DVD_launch_of_%27Paan_Singh_Tomar%27.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Photo_Of_Tigmanshu_Dhulia_From_The_DVD_launch_of_%27Paan_Singh_Tomar%27.jpg/220px-Photo_Of_Tigmanshu_Dhulia_From_The_DVD_launch_of_%27Paan_Singh_Tomar%27.jpg', 'path': 'full/3f47bc63991f5f0ce11f9beb452f46d285428fea.jpg', 'checksum': '2b4ff1aca93db317127f5575d92676bf'}]","Tigmanshu Dhulia (born 3 July 1967) is an Indian film dialogue writer, director, actor, screenwriter, producer and casting director known for his works in Hindi cinema and Television. He wrote the dialogues for the 1998 film Dil Se.., which was the first Bollywood film to chart in the UK top ten, and was screened at the Berlin International Film Festival.  His directing career has also garnered international recognition with the biographical film, Paan Singh Tomar premiered at the 2010 BFI London Film Festival. and the thriller drama Saheb, Biwi Aur Gangster.Paan Singh Tomar eventually went on to win the National Film Award for Best Feature Film in 2012. Similarly, his sequel film Saheb, Biwi Aur Gangster Returns had gained critical acclaim.
He is also well known for his role as Ramadhir Singh in Anurag Kashyap's modern cult film Gangs of Wasseypur. Dhulia holds a master's degree in Theatre from the National School of Drama.",Tigmanshu Dhulia
http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Arrow_Blue_Left_001.svg/12px-Arrow_Blue_Left_001.svg.png,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Arrow_Blue_Left_001.svg/12px-Arrow_Blue_Left_001.svg.png', 'path': 'full/02fca2e3d69651d16e1d1cd63575feef4e2c367d.jpg', 'checksum': 'de786338585aaa9e3fb81263c3771742'}]","Tapas Paul (29 September 1958 – 18 February 2020) was an Indian actor and politician. One of the most celebrated actors of Bengali cinema, Paul is best known for his on-screen romantic collaboration with Mahua Roychoudhury and Debashree Roy. He received a Filmfare Award. He was a Member of Parliament from Krishnanagar having won in the 2014 Indian General Elections on a Trinamool Congress ticket.He shot to fame and popularity with his debut film Dadar Kirti (1980), a romantic drama by Tarun Majumdar, and sustained his fame with films like Saheb (1981), Parabat Priya (1984), Bhalobasa Bhalobasa (1985), Anurager Choyan (1986), Amar Bandhan (1986), Guru Dakshina (1987) to name few. He was awarded the Filmfare Award for his role in Saheb (1981). He made his Bollywood debut in Hiren Nag's Abodh (1984) opposite Madhuri Dixit. He collaborated with Tarun Majumdar for the second time in his romantic flick Bhalobasa Bhalobasa (1985) where he was paired with Debashree Roy. The film achieved a roaring success and established his pairing with Roy as the most bankable one of the nineteen eighties. His other major hits with Roy include Arpan (1987), Surer Sathi (1988), Surer Akashe (1988), Nayanmani (1989), Chokher Aloy (1989), Shubha Kamana (1991), Mayabini (1992), Tobu Mone Rekho (1994). He collaborated with Buddhadeb Dasgupta in Uttara (2000) and Mondo Meyer Upakhyan (2002). He was arrested by C.B.I for alleged link to Rose Valley chit fund scam in December 2016, and was given bail after 13 months. He died on Tuesday, the 18th of February 2020, at 3:35 AM IST, as he was suffering from cardiological disorders, which lastly led to a sudden cardiac arrest.",Tapas Paul
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png', 'path': 'full/9791391d5ba76b5ca60dad452d67f9ddef1b33db.jpg', 'checksum': '495840ff54ab70605e8484a7131a03d2'}]","Suresh Heblikar (Kannada: ಸುರೇಶ ಹೆಬ್ಳೀಕರ) is a Kannada filmmaker, director and actor. He is also a well known environmentalist, founding the Eco-Watch NGO in 1998. He has produced many noteworthy movies in Kannada of which Kadina Benki won Best Director national award and Usha Kiran the Filmfare award. His films are known to have an offbeat theme where ""passionate romance"" is portrayed. This is attributed by him to a very romantic childhood.
His movie themes also involve psychosis and scientific temperaments — which Heblikar humbly attributes to his association with producer and psychoanalyst Dr. Ashok Pai. Being an environmentalist himself, his movies depict nature and conservation.Suresh Heblikar had his early education at Presentation Convent and Basel mission school,Dharwad.He completed his bachelor's degree from Karnatak College and post graduate degree from Karnatak University,Dharwad.",Suresh Heblikar
http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Surya_with_RGV_in_Rakht_Charitra_sets.jpg/250px-Surya_with_RGV_in_Rakht_Charitra_sets.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Surya_with_RGV_in_Rakht_Charitra_sets.jpg/250px-Surya_with_RGV_in_Rakht_Charitra_sets.jpg', 'path': 'full/afca03ab82fa8db5b20d7da02fcd7a983f64454f.jpg', 'checksum': '33b43304e4264bf14035ac3dd5229151'}]","Surya (; Sanskrit: सूर्य, IAST: Sūrya) is a Sanskrit word that means the Sun. Synonyms of Surya in ancient Indian literature include Aaditya, Arka, Bhanu, Savitr, Pushan, Ravi, Martanda, Mitra, Bhaskara and Vivasvan.Surya also connotes the solar deity in Hinduism, particularly in the Saura tradition found in states such as Rajasthan, Gujarat, Madhya Pradesh, Bihar, Maharashtra, Uttar Pradesh, Jharkhand and Odisha. Surya is one of the five deities considered as equivalent aspects and means to realizing Brahman in the Smarta Tradition. Surya's iconography is often depicted riding a chariot harnessed by horses, often seven in number which represent the seven colours of visible light, and seven days in a week. In medieval Hinduism, Surya is also an epithet for the major Hindu gods Shiva, Brahma and Vishnu. In some ancient texts and arts, Surya is presented syncretically with Indra, Ganesha or others. Surya as a deity is also found in the arts and literature of Buddhism and Jainism.Surya is depicted with a Chakra which is also interpreted as Dharmachakra.  Surya is one of the nine heavenly houses (Navagraha) in the zodiac system of Hindu astrology. Surya or Ravi is the basis of Ravivara, or Sunday, in the Hindu calendar. Major festivals and pilgrimages in reverence of Surya include Makar Sankranti, Pongal, Ratha Sapthami, Chath puja and Kumbh Mela.Having survived as a primary deity in Hinduism arguably better and longer than any other of the original Vedic deities apart from Vishnu, the worship of Surya declined greatly around the 13th century, perhaps as a result of the Muslim conquest of north India.  New Surya temples virtually ceased to be built, and some were later converted to a different dedication, generally Shiva.  A number of important Surya temples remain, but many are no longer in worship. In various respects, Surya has tended to be merged into Shiva, or seen as subsidiary to him.",Suriya
http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"[{'url': 'http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png', 'path': 'full/c158a89d0e792c2571c24fd6db98c0d91aefc851.jpg', 'checksum': '9668b2a09547a790f2b65de79fab1924'}]","Sutti Veerabhadra Rao or Mamidipalli Veerabhadra Rao was a very popular south Indian film actor who played comedians and character artists, as well as a renowned radio and theater artist.",Suthi Veerabhadra Rao
http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Awakening_with_Brahmakumaris_program_in_Bangkok.jpg/220px-Awakening_with_Brahmakumaris_program_in_Bangkok.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Awakening_with_Brahmakumaris_program_in_Bangkok.jpg/220px-Awakening_with_Brahmakumaris_program_in_Bangkok.jpg', 'path': 'full/d1106d344cfdd9ec2f7ebd4530124520a97e73dc.jpg', 'checksum': '52380674920a9f45ea0fb5f674e739ed'}]","Suresh Oberoi (born 17 December 1946) is an Indian character actor & Politician. He is the father of Bollywood actor Vivek Oberoi. He was born in Quetta, Balochistan, and is a recipient of the 1987 National Film Award for Best Supporting Actor. He started his career in radio shows, modelling and later moving to Bollywood, making him a popular character actor in the 1980s and much of the 1990s.",Suresh Oberoi
http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/TANIKELLA_BHARANI_6.jpg/220px-TANIKELLA_BHARANI_6.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/TANIKELLA_BHARANI_6.jpg/220px-TANIKELLA_BHARANI_6.jpg', 'path': 'full/6cc092602425c26b048771f162eb79866d9e1cf9.jpg', 'checksum': 'b34b28efadfc7a6835205160d97f8ab2'}]","Tanikella Bharani (born 14 July 1954) is an Indian film actor, screenwriter, script writer, poet, theatre actor, playwright and director predominant in Telugu cinema. He has worked in more than 750 films, including Tamil, Kannada, and Hindi. He has won three Andhra Pradesh State Nandi Awards.He did PG diploma in theatre arts in the year 1981-83 from osmania University.",Tanikella Bharani
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png', 'path': 'full/9791391d5ba76b5ca60dad452d67f9ddef1b33db.jpg', 'checksum': '495840ff54ab70605e8484a7131a03d2'}]",Suman Setty is a comedian/actor in Tollywood (the Telugu film industry) and Kollywood (the Tamil film industry) in South India.,Suman Setty
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/40px-India_film_clapperboard_%28variant%29.svg.png,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/40px-India_film_clapperboard_%28variant%29.svg.png', 'path': 'full/ce4d35adb396c8b3de5a41c12f40bc71b36f4b14.jpg', 'checksum': '8766ad6537751a627c6e8f5964d90da5'}]","Sundar Raj is an Indian film actor in the Kannada film industry. Some of the notable films of Sundar Raj as an actor include Tabbaliyu Neenade Magane, Ondanondu Kaladalli,Chandanada Gombe,  Kurigalu Saar Kurigalu (2001), Mathadana (2001), Aakasmika (1993).",Sundar Raj
http://upload.wikimedia.org/wikipedia/commons/5/5d/Sunny_Gill_at_Kwan_Party.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/5/5d/Sunny_Gill_at_Kwan_Party.jpg', 'path': 'full/5331981b1a370d6efc4ba7ab14691c964e773a31.jpg', 'checksum': '5da730f12cab60c0c6b7f54f6a5f381e'}]","Sunny Gill is a Canadian-born Indian actor of Punjabi origin who made his Bollywood debut in the film Jo Hum Chahein in December 2011. He was placed 7th on the Times of India's ""Most Promising Newcomers of 2011"" list, where they praised him for his good looks and nuanced performance. Prior to his debut as an actor he was a model who had done print and ramp assignments.",Sunny Gill
http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Sushant%2C_Raj_Kumar%2C_Abhishek_and_Amit_at_KAI_PO_CHE%27s_success_bash.jpg/250px-Sushant%2C_Raj_Kumar%2C_Abhishek_and_Amit_at_KAI_PO_CHE%27s_success_bash.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Sushant%2C_Raj_Kumar%2C_Abhishek_and_Amit_at_KAI_PO_CHE%27s_success_bash.jpg/250px-Sushant%2C_Raj_Kumar%2C_Abhishek_and_Amit_at_KAI_PO_CHE%27s_success_bash.jpg', 'path': 'full/e7649c7133f6bd7e008daa302af4c3ccc77d7355.jpg', 'checksum': 'e6961ffd1f83ca1c9c6133e4e71ee3b7'}]","Sushant Singh Rajput (born 21 January 1986) is an Indian film actor, dancer, television personality, an entrepreneur and a philanthropist. Rajput started his career with television serials. His debut show was Star Plus's romantic drama Kis Desh Mein Hai Meraa Dil (2008), followed by an award-winning performance in Zee TV's popular soap opera Pavitra Rishta (2009–11).
Rajput made his film debut in the buddy drama Kai Po Che! (2013), for which he received a nomination for the Filmfare Award for Best Male Debut. He then starred in the romantic comedy Shuddh Desi Romance (2013) and as the titular detective in the action thriller Detective Byomkesh Bakshy! (2015). His highest-grossing releases came with a supporting role in the satire PK (2014), followed by the titular role in the sports biopic M.S. Dhoni: The Untold Story (2016). For his performance in the latter, he received his first nomination for the Filmfare Award for Best Actor. Rajput went on to star in the commercially successful films Kedarnath (2018) and Chhichhore (2019).
NITI Aayog, the policy think-tank of the Indian government, signed him to promote the Women Entrepreneurship Platform (WEP). Apart from acting and running innsaei ventures, Rajput is actively involved in various programmes like Sushant4Education, as a part of efforts to help young students.

",Sushant Singh Rajput
http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Sunrise_from_Kausani%2C_Almora%2C_Uttarakhand%2C_India.jpg/260px-Sunrise_from_Kausani%2C_Almora%2C_Uttarakhand%2C_India.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Sunrise_from_Kausani%2C_Almora%2C_Uttarakhand%2C_India.jpg/260px-Sunrise_from_Kausani%2C_Almora%2C_Uttarakhand%2C_India.jpg', 'path': 'full/3123964028c9b69f9ae77711f4384ed0edbf1c75.jpg', 'checksum': '0f814df7c0dc0d27bb1c94ee28ec0fbe'}]","Surya (; Sanskrit: सूर्य, IAST: Sūrya) is a Sanskrit word that means the Sun. Synonyms of Surya in ancient Indian literature include Aaditya, Arka, Bhanu, Savitr, Pushan, Ravi, Martanda, Mitra, Bhaskara and Vivasvan.Surya also connotes the solar deity in Hinduism, particularly in the Saura tradition found in states such as Rajasthan, Gujarat, Madhya Pradesh, Bihar, Maharashtra, Uttar Pradesh, Jharkhand and Odisha. Surya is one of the five deities considered as equivalent aspects and means to realizing Brahman in the Smarta Tradition. Surya's iconography is often depicted riding a chariot harnessed by horses, often seven in number which represent the seven colours of visible light, and seven days in a week. In medieval Hinduism, Surya is also an epithet for the major Hindu gods Shiva, Brahma and Vishnu. In some ancient texts and arts, Surya is presented syncretically with Indra, Ganesha or others. Surya as a deity is also found in the arts and literature of Buddhism and Jainism.Surya is depicted with a Chakra which is also interpreted as Dharmachakra.  Surya is one of the nine heavenly houses (Navagraha) in the zodiac system of Hindu astrology. Surya or Ravi is the basis of Ravivara, or Sunday, in the Hindu calendar. Major festivals and pilgrimages in reverence of Surya include Makar Sankranti, Pongal, Ratha Sapthami, Chath puja and Kumbh Mela.Having survived as a primary deity in Hinduism arguably better and longer than any other of the original Vedic deities apart from Vishnu, the worship of Surya declined greatly around the 13th century, perhaps as a result of the Muslim conquest of north India.  New Surya temples virtually ceased to be built, and some were later converted to a different dedication, generally Shiva.  A number of important Surya temples remain, but many are no longer in worship. In various respects, Surya has tended to be merged into Shiva, or seen as subsidiary to him.",Surya
http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Ironing_guinness_0357.JPG/200px-Ironing_guinness_0357.JPG,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Ironing_guinness_0357.JPG/200px-Ironing_guinness_0357.JPG', 'path': 'full/63639a05724a25a9346eb54b83f4c0b83fa9310b.jpg', 'checksum': 'd3d79244608495d03035f690514f0f06'}]","Suresh Joachim Arulanantham is a Canadian film actor, producer, and multiple-Guinness World Record holder who has broken more than 60 world records set in several countries in attempts to benefit underprivileged children around the world.",Suresh Joachim
http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Sunny_Nijar_graces_the_HT_Style_Awards_2018.jpg/220px-Sunny_Nijar_graces_the_HT_Style_Awards_2018.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Sunny_Nijar_graces_the_HT_Style_Awards_2018.jpg/220px-Sunny_Nijar_graces_the_HT_Style_Awards_2018.jpg', 'path': 'full/b1189b60dcd7b8918ee1577fecea7c62814a00f5.jpg', 'checksum': '5d5a874c7daccc16dad65c6f1d7512fa'}]","Sunny Singh Nijjar (born October 6, 1985) is an Indian actor. He is from New Delhi. His father is Jai Singh Nijjar. He made his film debut with a brief role in Dil Toh Baccha Hai Ji (2011), followed by a role in Akaash Vani (2013). His first commercial success was the buddy film Pyaar Ka Punchnama 2 (2015), and his highest-grossing release came in 2018 with the comedy Sonu Ke Titu Ki Sweety.",Sunny Singh (actor)
http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Suresh_Gopi.jpg/220px-Suresh_Gopi.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Suresh_Gopi.jpg/220px-Suresh_Gopi.jpg', 'path': 'full/8cfbd2eb4ba649775f4c1cf823322cb272eb5f49.jpg', 'checksum': '20c3207e245cfca4117cf83994c995dd'}]","Suresh Gopi (born 26 June 1958) is an Indian film actor, politician, playback singer and television presenter. He works predominantly in Malayalam cinema and has also appeared in few Tamil, Telugu, Kannada and Bollywood films. Suresh has acted in more than 200 films and is a recipient of a National Film Award and Kerala State Film Award. He currently serves as a Member of Parliament (MP) in Rajya Sabha.",Suresh Gopi
